,PCE,Jsc,Voc,FF,smiles_donor,smiles_acceptor,smiles_canonical,Inverted?,Solvent,DIO?,Processing_Technique,TA?,SVA?,TA,SVA,thickness_nm,blend_ratio,Molecular_Weight,DOI
1,5.63,13.58,0.76,0.545,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,o-dichlorobenzene (DCB),FALSE,spin coating,FALSE,FALSE,,,100,1,97500,10.1002/adma.200903528
2,6.02,13.56,0.75,0.5922999999999999,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,o-dichlorobenzene (DCB),FALSE,spin coating,FALSE,FALSE,,,100,0.6666666666666666,97500,10.1002/adma.200903528
3,5.31,11.4,0.75,0.6215999999999999,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,o-dichlorobenzene (DCB),FALSE,spin coating,FALSE,FALSE,,,100,0.5,97500,10.1002/adma.200903528
4,6.22,13.95,0.74,0.603,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,o-dichlorobenzene (DCB),FALSE,spin coating,FALSE,FALSE,,,100,0.6666666666666666,97500,10.1002/adma.200903528
5,7.18,14.09,0.74,0.6884999999999999,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,"97% dichlorobenzene (DCB) + 3% 1,8-diiodoctane (DIO)",TRUE,spin coating,FALSE,FALSE,,,100,0.6666666666666666,97500,10.1002/adma.200903528
6,3.92,10.2,0.76,0.505,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,chlorobenzene (CB),FALSE,spin coating,FALSE,FALSE,,,100,0.6666666666666666,97500,10.1002/adma.200903528
7,7.4,14.5,0.74,0.690,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc2c(OCC(CC)CCCC)c3sc(-c4sc([*])c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,"97% chlorobenzene (CB) + 3% 1,8-diiodoctane (DIO)",TRUE,spin coating,FALSE,FALSE,,,100,0.6666666666666666,97500,10.1002/adma.200903528
8,6.38,11.87,0.96,0.560,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,chloroform,FALSE,,FALSE,FALSE,,,110,1.25,,10.1021/ja509703k
9,7.61,13,0.96,0.610,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,chloroform,FALSE,,TRUE,FALSE,TA 100°C for 10 minutes,,110,1.25,,10.1021/ja509703k
10,9.6,14.45,0.91,0.730,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,chloroform,FALSE,,TRUE,TRUE,TA at 100°C for 10 minutes,SVA with solvent chloroform for 1 minute,110,1.25,,10.1021/ja509703k
11,7.01,12.38,0.96,0.600,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,chloroform,FALSE,,TRUE,FALSE,TA at 100°C for 10 minutes,,110,2,,10.1021/ja509703k
12,7.1,13.28,0.95,0.560,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(SCC(CC)CCCC)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(SCC(CC)CCCC)c4s3)cc2CCCCCCCC)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,chloroform,FALSE,,TRUE,FALSE,TA at 100°C for 10 minutes,,110,1,,10.1021/ja509703k
13,10.3,18.8,0.77,0.750,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,COC(=O)CCCC1(c2cccs2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1.COC(=O)CCCC1(c2cccs2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,83000, 10.1038/ncomms6293
14,10.2,18.4,0.77,0.740,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,83000, 10.1038/ncomms6293
15,10.1,17.7,0.77,0.760,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,83000, 10.1038/ncomms6293
16,9.4,16.4,0.78,0.770,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,c1ccc2c(c1)[C@H]1C[C@@H]2[C@]23c4c5c6c7c8c9c%10c%11c(c%12c%13c%14c%15c%16c(c4c4c%17c5c7c5c7c8c8c9c9c%11c%11c%12c%14c%12c%14c%15c%15c%16c4c4c%17c5c5c7c7c8c8c9c%11c%12c9c%14c%11c%15c4c5c%11c7c89)[C@@H]%132)[C@]13[C@H]6%10,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1.c1ccc2c(c1)[C@H]1C[C@@H]2[C@]23c4c5c6c7c8c9c%10c%11c(c%12c%13c%14c%15c%16c(c4c4c%17c5c7c5c7c8c8c9c9c%11c%11c%12c%14c%12c%14c%15c%15c%16c4c4c%17c5c5c7c7c8c8c9c%11c%12c9c%14c%11c%15c4c5c%11c7c89)[C@@H]%132)[C@]13[C@H]6%10,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,83000, 10.1038/ncomms6293
17,9.3,17.4,0.75,0.740,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,COC(=O)CCCC1(c2cccs2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1.COC(=O)CCCC1(c2cccs2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,83000, 10.1038/ncomms6293
18,9.3,17.1,0.77,0.730,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,[*]c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,83000, 10.1038/ncomms6293
19,10,18.2,0.77,0.740,[*]c1cc(F)c(-c2sc(-c3sc(-c4ccc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)cc2F)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,[*]c1cc(F)c(-c2sc(-c3sc(-c4ccc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c([*])s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)cc2F)s1.COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,FALSE,50% chlorobenzene (CB) + 50% dichlorobenzene (DCB),FALSE,spin coating,TRUE,FALSE,TA at 80°C for 5 minutes,,300,0.8333333333333334,52900, 10.1038/ncomms6293
